It's only been a few days but still I cry	it's only been a few days but still I 😭
There is a full moon out tonight	there is a full 🌙 out 🌃
flying to Colorado in the morning. Peace	🛫 to Colorado in the 🌤 . ✌🏻
Can't tag everyone but yea it was lit	can't tag everyone but it was 🔥
Peace and love	✌🏻 and ❤️
happy new year	😁 new 🍾
Guess who is watching basketball	guess who is 👀 🏀
All monkeys climb trees	All 🐒 climb 🌲
I like the outdoors tho	I like the 🏞 🤷🏽‍♀️
thank you baby back to you	thank you 👶 back to you
My dad got me chocolate covered strawberries	my 👨‍👧 got me 🍫 covered 🍓
my cat got sick last night	my 🐱 got 🤢 last 🌙
it's raining, it's pouring	it's 🌧, it's 🌧
the old man is snoring	the old 💁‍ is 😴
can't put in words how thankful I am for Em	can't put into 📝 how 🙏 I am for Em
Someone is chicken	someone is 🐔
Im Snow White. Discover which #Disney princess you are!	im ❄️ white. discover which Disney 👑 you are!
I hate Mother Nature	I 😡 Mother 🌲
I Can't Wait To Move.	I can't wait to 🛫
I smell like rubbing alcohol, thx	I smell like rubbing 🥃,, 👍
I love fortune cookies	I ❤️ fortune 🍪
So proud of my team we weren't first but we definitely weren't last	So proud of my team we weren't 🥇 but we definitely weren't last
Spicy ramen in a little my body is ready	🔥 ramen in a little my 👤 is 👍
my baby looking so fine omg	my 👶🏻 looking so fine omg
named my tiger 'peal'	named my 🐯 'peal'
Pizza night Tomato sauce, Zuccini, tomatoes, yellow paprika, broccoli, smoked tofu, gyros...	🍕 🌃 🍅 sauce, Zuccini, 🍅, yellow paprika, 🥦, 💨 tofu, gyros...
Im miserable with out my sister and she took all of her makeup palettes	Im 😩 with out my 👭 and she took all of her 💄 palettes
kyle is my angel, endless love	kyle is my 😇, endless ❤️
It's so busy work	It's so busy 👩‍💻
Even if the suns not up you still have a way to shine	even if the ☀️ not up you still have a way to 🌅
there's no glow up if she's already bomb to start with	there's no 🌟 up if she's already 💣 to start with
I always see my boyfriend at the gym and he never talks to me	I always see my 👫 at the 🏋️‍♂️ and he never 🗣 to me
Low key in love with Gunayt	Low 🔑 in ❤️ with Gunayt
Aww thank you! I'm so excited to meet her	Aww 🙏! I'm so excited to meet 👩
Priorities man	Priorities 👱
Wow so much to do	Wow so much 📆
Campers and hikers are among those most commonly affected by #lightning.	🏕 and 🚶 are among those most commonly affected by ⚡️
when i'm with you all i get is wild thoughts	when i'm with 👱 all i get is wild 💬
She cut her hair as my treat for her bday	💇 as my 🍭 for her 🎂
My favorite place in all the world is next to you	My favorite place in the 🌎 is 👫
Reunited with my baby girl for new years	Reunited with my 👶 👧 for 🎊
This year has been totally crazy, but I'm so happy	This 📆 has been totally crazy, but I'm so 😁
you're a great friend, a singer and a dancer	you're a great friend, a 🎤 and a 💃
I brought sooo much food to work	I brought so much 🍕 to 👩‍💻
love you to the moon and back	❤️ you to the 🌙 and back
Didn't have my phone for one day	Didn't have my 📞 for one 🌞
It's obviously a Monday when you forget your water bottle AND your notebook	It's obviously a Monday when you forget your 💧 🍼 AND your 📓
Strawberries dipped in nutella never fail to make me happy	🍓 dipped in 🍫 never fail to make me 😁
My cute chubby bunny momma and daddy love you	My cute chubby 🐰 momma and daddy ❤️ you
please help me welcome the most deceiving shit in the whole universe	please help me welcome the most deceiving 💩 in the whole ⭐️
I'm positive that waking up to the smell of bacon is the greatest	I'm ➕ that waking up to the smell of 🥓 is the greatest
Blue skies, palm trees,sea breaze, sun kissed skin	🔵 skies, 🌴, 🌊, 🌞 kissed skin
What an amazing picture	What an amazing 📷
New wheels for the week!	New 🚗 for the week!
Wet seal is going out of business this sale is bananas	💧 seal is going out of business this sale is 🍌
I looooove movies but not as much as my sister and her husband	I ❤️ 🎬 but not as much as my sister and her husband
Workout Time	💪 ⌚️
I'm ready for it to start snowing now so I can sing Do You Wanna Build A Snowman everyday	I'm ready for it to start 🌨 now so I can sing Do You Wanna Build a ⛄️ everyday
i love you so much mumma	thank youu I ❤️ you so much 👩‍👧‍👦
Tonight we fly soo high	🌌 we ✈️ so high
Football fan Ed Wood has just visited all the English league grounds in record time!	🏈 fan Ed Wood has just visited all the English league grounds in record time!
Hope you are having a blast in France! Btw how is your ear doing? I hope it is better	Hope you are having a blast in 🇫🇷! Btw how is your 👂 doing? I hope it is better
